Id,OwnerUserId,CreationDate,ParentId,Score,Body
655,91.0,2008-08-03T11:41:38Z,650,69,"<p>With the ""Built in"" stuff, you can't, as using 1.0.* or 1.0.0.* will replace the revision and build numbers with a coded date/timestamp, which is usually also a good way. </p><p>For more info, see the <a href=""http://msdn2.microsoft.com/en-us/library/c405shex%28vs.80%29.aspx"">Assembly Linker</a> Documentation in the /v tag.</p><p>As for automatically incrementing numbers, use the AssemblyInfo Task:</p><p><a href=""http://code.msdn.microsoft.com/AssemblyInfoTaskvers"">AssemblyInfo Task</a></p><p>This can be configured to automatically increment the build number.</p><p>There are 2 Gotchas:</p><ol><li>Each of the 4 numbers in the Version string is limited to 65535. This is a Windows Limitation and unlikely to get fixed.<ul><li><a href=""http://blogs.msdn.com/msbuild/archive/2007/01/03/why-are-build-numbers-limited-to-65535.aspx"">Why are build numbers limited to 65535?</a></li></ul></li><li>Using with with Subversion requires a small change:<ul><li><a href=""http://www.andrewconnell.com/blog/archive/2006/08/29/4078.aspx"">Using MSBuild to generate assembly version info at build time (including SubVersion fix)</a></li></ul></li></ol><p>Retrieving the Version number is then quite easy:</p><pre><code>Version v = Assembly.GetExecutingAssembly().GetName().Version;string About = string.Format(CultureInfo.InvariantCulture, @""YourApp Version {0}.{1}.{2} (r{3})"", v.Major, v.Minor, v.Build, v.Revision);</code></pre><hr><p>And, to clarify: In .net or at least in C#, the build is actually the THIRD number, not the fourth one as some people (for example Delphi Developers who are used to Major.Minor.Release.Build) might expect.</p><p>In .net, it's Major.Minor.Build.Revision.</p>"
787,175.0,2008-08-03T18:46:33Z,650,4,<p>What source control system are you using? </p><p>Almost all of them have some form of $ Id $ tag that gets expanded when the file is checked in.</p><p>I usually use some form of hackery to display this as the version number.</p><p>The other alternative is use to use the date as the build number: 080803-1448</p>
818,233.0,2008-08-03T20:45:27Z,810,0,"<p>I'm partway to my solution with this entry on MSDN (don't know how I couldn't find it before).</p><p>User/Machine Hive<br>Subkeys and values entered under this hive will be installed under the HKEY_CURRENT_USER hive when a user chooses ""Just Me"" or the HKEY_USERS hive or when a user chooses ""Everyone"" during installation.</p><p><a href=""http://msdn.microsoft.com/en-us/library/x6kd89c5%28VS.80%29.aspx"" rel=""nofollow"">Registry Editor</a></p>"
820,91.0,2008-08-03T20:48:47Z,810,3,"<p>First: Yes, this is something that belongs in the Application for the exact reson you specified: What happens after new user profiles are created? Sure, if you're using a domain it's possible to have some stuff put in the registry on creation, but this is not really a use case. The Application should check if there are seetings and use the default settings if not.</p><p>That being said, it IS possible to change other users Keys through the HKEY_USERS Hive.</p><p>I have no experience with the Visual Studio 2003 Setup Project, so here is a bit of (totally unrelated) VBScript code that might just give you an idea where to look:</p><pre><code>const HKEY_USERS = &amp;H80000003<br>strComputer = "".""<br>Set objReg=GetObject(""winmgmts:{impersonationLevel=impersonate}!\\"" &amp; strComputer &amp; ""\root\default:StdRegProv"")<br>strKeyPath = """"<br>objReg.EnumKey HKEY_USERS, strKeyPath, arrSubKeys<br>strKeyPath = ""\Software\Microsoft\Windows\CurrentVersion\WinTrust\Trust Providers\Software Publishing""<br>For Each subkey In arrSubKeys<br>    objReg.SetDWORDValue HKEY_USERS, subkey &amp; strKeyPath, ""State"", 146944<br>Next<br></code></pre><p>(Code Courtesy of <a href=""http://jritmeijer.spaces.live.com/blog/cns%218A48A27460FB898A%21965.entry"" rel=""nofollow"">Jeroen Ritmeijer</a>)</p>"
829,234.0,2008-08-03T21:17:33Z,810,4,"<p>I'm guessing that because you want to set it for all users, that you're on some kind of shared computer, which is probably running under a domain?</p><p><strong>HERE BE DRAGONS</strong></p><p>Let's say Joe and Jane regularly log onto the computer, then they will each have 'registries'.</p><p>You'll then install your app, and the installer will employ giant hacks and disgusting things to set items under HKCU for them.</p><p>THEN, bob will come along and log on (he, and 500 other people have accounts in the domain and so can do this). He's never used this computer before, so he has no registry. The first time he logs in, windows creates him one, but he won't have your setting. </p><p>Your app then falls over or behaves incorrectly, and bob complains loudly about those crappy products from raynixon incorporated.</p><p>The correct answer is to just have some default settings in your app, which can write them to the registry if it doesn't find them. It's general good practice that your app should never depend on the registry, and should create things as needed, for any registry entry, not just HKCU, anyway</p>"
870,233.0,2008-08-03T22:34:06Z,810,0,"<p>Despite what the <a href=""http://msdn.microsoft.com/en-us/library/x6kd89c5%28VS.80%29.aspx"" rel=""nofollow"">MSDN article</a>  says about User/Machine Hive, it doesn't write to HKEY_USERS. Rather it writes to HKCU if you select Just Me and HKLM if you select Everyone.</p><p>So my solution is going to be to use the User/Machine Hive, and then in the application it checks if the registry entries are in HKCU and if not, copies them from HKLM. I know this probably isn't the most ideal way of doing it, but it has the least amount of changes.</p>"
940,243.0,2008-08-04T01:07:14Z,930,15,"<p>Very roughly and from memory since I don't have code on this laptop:</p><pre><code>using (OleDBConnection conn = new OleDbConnection()){  conn.ConnectionString = ""Whatever connection string"";  using (OleDbCommand cmd = new OleDbCommand())  {    cmd.Connection = conn;    cmd.CommandText = ""Select * from CoolTable"";    using (OleDbDataReader dr = cmd.ExecuteReader())    {      while (dr.Read())      {        // do something like Console.WriteLine(dr[""column name""] as String);      }    }  }}</code></pre>"
951,49.0,2008-08-04T01:31:31Z,930,26,"<p>@Goyuix -- that's excellent for something written from memory.tested it here -- found the connection wasn't opened. Otherwise very nice.</p><pre><code>using System.Data.OleDb;...using (OleDbConnection conn = new OleDbConnection()){    conn.ConnectionString = ""Provider=sqloledb;Data Source=yourServername\\yourInstance;Initial Catalog=databaseName;Integrated Security=SSPI;"";    using (OleDbCommand cmd = new OleDbCommand())    {        conn.Open();        cmd.Connection = conn;        cmd.CommandText = ""Select * from yourTable"";        using (OleDbDataReader dr = cmd.ExecuteReader())        {            while (dr.Read())            {                Console.WriteLine(dr[""columnName""]);            }        }    }}</code></pre>"
1022,93.0,2008-08-04T04:45:05Z,930,9,"<p>That's definitely a good way to do it.  But you if you happen to be using a database that supports LINQ to SQL, it can be a lot more fun.  It can look something like this:</p><pre><code>MyDB db = new MyDB(""Data Source=..."");<br>var q = from db.MyTable<br>        select c;<br>foreach (var c in q)<br>  Console.WriteLine(c.MyField.ToString());<br></code></pre>"
1043,55.0,2008-08-04T05:59:53Z,1040,2,"<p>You can use this program, <a href=""http://technet.microsoft.com/en-us/sysinternals/bb896655.aspx"" rel=""nofollow"">Handle</a>, to find which process has the lock on your file. It's a command-line tool, so I guess you use the output from that... I'm not sure about finding it programmatically.</p><p>If deleting the file can wait, you could specify it for deletion when your computer next starts up:</p><ol><li><p>Start <code>REGEDT32 (W2K)</code> or <code>REGEDIT (WXP)</code> and navigate to:</p><pre><code>HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\Session Manager</code></pre></li><li><p>W2K and WXP</p><ul><li><p><strong>W2K:</strong><br/>Edit<br/>Add Value...<br/>Data Type: <code>REG_MULTI_SZ</code><br/>Value Name: <code>PendingFileRenameOperations</code><br/><kbd>OK</kbd></p></li><li><p><strong>WXP:</strong><br/>Edit<br/>New<br/>Multi-String Value<br/><kbd>enter</kbd><br/><code>PendingFileRenameOperations</code></p></li></ul></li><li><p>In the Data area, enter <code>""\??\"" + filename</code> to be deleted. LFNs maybe entered without being embedded in quotes. To delete <code>C:\Long Directory Name\Long File Name.exe</code>, enter the following data:</p><pre><code>\??\C:\Long Directory Name\Long File Name.exe</code></pre><p>Then press <kbd>OK</kbd>.</p></li><li><p>The ""destination file name"" is a null (zero) string. It is enteredas follows:</p><ul><li><p><strong>W2K:</strong><br/>Edit<br/>Binary<br/>select Data Format: Hex<br/>click at the end of the hex string<br/>enter 0000 (four zeros)<br/><kbd>OK</kbd></p></li><li><p><strong>WXP:</strong><br/>Right-click the value<br/>choose ""Modify Binary Data""<br/>click at the end of the hex string<br/>enter 0000 (four zeros)<br/><kbd>OK</kbd></p></li></ul></li><li><p>Close <code>REGEDT32/REGEDIT</code> and reboot to delete the file.</p></li></ol><p><sup>(Shamelessly stolen from <a href=""http://www.pcreview.co.uk/forums/thread-1581158.php"" rel=""nofollow"">some random forum</a>, for posterity's sake.)</sup></p>"
1044,227.0,2008-08-04T06:01:52Z,1040,32,"<p>Killing other processes is not a healthy thing to do. If your scenario involves something like uninstallation, you could use the <a href=""http://msdn.microsoft.com/en-us/library/aa365240%28VS.85%29.aspx""><strong><code>MoveFileEx</code></strong> API function</a> to mark the file for deletion upon next reboot.</p><p>If it appears that you really need to delete a file in use by another process, I'd recommend re-considering the actual problem before considering any solutions.</p>"
1049,234.0,2008-08-04T06:12:11Z,1040,5,"<p>If you want to do it programatically. I'm not sure... and I'd really recommend against it.If you're just troubleshooting stuff on your own machine, <a href=""http://technet.microsoft.com/en-us/sysinternals/bb896653.aspx"">SysInternals Process Explorer</a> can help you</p><p>Run it, use the Find Handle command (I think it's either in the find or handle menu), and search for the name of your file. Once the handle(s) is found, you can forcibly close them.</p><p>You can then delete the file and so on.</p><p><strong>Beware</strong>, doing this may cause the program which owns the handles to behave strangely, as you've just pulled the proverbial rug out from under it, but it works well when you are debugging your own errant code, or when visual studio / windows explorer is being crap and not releasing file handles even though you told them to close the file ages ago... sigh :-)</p>"
1050,234.0,2008-08-04T06:14:42Z,1040,1,"<p>Oh, one big hack I employed years ago, is that Windows won't let you <em>delete</em> files, but it does let you <em>move</em> them.</p><p>Pseudo-sort-of-code:</p><pre><code>mv %WINDIR%\System32\mfc42.dll %WINDIR\System32\mfc42.dll.oldInstall new mfc42.dllTell user to save work and restart applications</code></pre><p>When the applications restarted (note we didn't need to reboot the machine), they loaded the new <code>mfc42.dll</code>, and all was well. That, coupled with <code>PendingFileOperations</code> to delete the old one the next time the whole system restarted, worked pretty well.</p>"
1051,,2008-08-04T06:15:30Z,1040,11,"<P>The typical method is as follows. You've said you want to do this in C# so here goes...</P><OL><LI>If you don't know which process has the file locked, you'll need to examine each process's handle list, and query each handle to determine if it identifies the locked file. Doing this in C# will likely require P/Invoke or an intermediary C++/CLI to call the native APIs you'll need.</LI><LI>Once you've figured out which process(es) have the file locked, you'll need to safely inject a small native DLL into the process (you can also inject a managed DLL, but this is messier, as you then have to start or attach to the .NET runtime).</LI><LI>That bootstrap DLL then closes the handle using CloseHandle etc.</LI></OL><P>Essentially: the way to unlock a ""locked"" file is to inject a DLL into the offending process's address space and close it yourself. You can do this using native or managed code. No matter what, you're going to need a small amount of native code or at least P/Invoke into the same.</P><P>Helpful links:</P><UL><LI><A href=""http://www.codeproject.com/KB/threads/winspy.aspx"">http://www.codeproject.com/KB/threads/winspy.aspx</A></LI><LI><A href=""http://damianblog.com/2008/07/02/net-code-injection/"">http://damianblog.com/2008/07/02/net-code-injection/</A></LI></UL><P>Good luck!</P>"
1074,1.0,2008-08-04T08:04:41Z,1010,7,"<p>Rex, I suspect a good place to start looking is solutions that <strong>compress the ViewState</strong> -- they're grabbing ViewState on the server before it's sent down to the client and gzipping it. That's exactly where you want to be.</p><ul><li><a href=""http://www.hanselman.com/blog/CommentView,guid,febce059-7e7c-439e-af3d-c53d250b3e9c.aspx"">Scott Hanselman on ViewState Compression</a> (2005)</li><li><a href=""http://www.bloggingdeveloper.com/post/How-To-Compress-ViewState-in-ASPNET-20-ViewState-Compression-with-SystemIOCompression.aspx"">ViewState Compression with System.IO.Compression</a> (2007)</li></ul>"
1082,116.0,2008-08-04T08:21:07Z,1070,2,"<p>Yes, you are right to lock at the VSZ.</p><p><code>ps u</code> will give you the VSZ and RSS, which are the virtual memory size and resident set size.  The RSS is how much physical memory has been allocated to the process, and the VSZ is the virtual memory size of the process.  If you have several copies of a program running, a lot of the memory in the VSZ will be shared between those processes.</p>"
1093,51.0,2008-08-04T09:04:17Z,1010,2,"<p>See this <a href=""http://aspguy.wordpress.com/2008/07/09/reducing-the-page-size-by-storing-viewstate-on-server/"" rel=""nofollow"">blog post</a> where the author describes a method for overriding the default behavior for generating the ViewState and instead shows how to save it on the server Session object.</p><blockquote>  <p>In ASP.NET 2.0, ViewState is saved by  a descendant of PageStatePersister  class. This class is an abstract class  for saving and loading ViewsState and  there are two implemented descendants  of this class in .Net Framework, named  HiddenFieldPageStatePersister and  SessionPageStatePersister. By default  HiddenFieldPageStatePersister is used  to save/load ViewState information,  but we can easily get the  SessionPageStatePersister to work and  save ViewState in Session object.</p></blockquote><p>Although I did not test his code, it seems to show exactly what you want: a way to gain access to ViewState code while still on the server, before postback. </p>"
1164,91.0,2008-08-04T11:41:37Z,1160,2,"<p>I am currently ""manually"" doing it through a prebuild-exec Task, using my <a href=""http://www.stum.de/various-tools/cmdtools/"" rel=""nofollow"">cmdnetsvnrev</a> tool, but if someone knows a better ccnet-integrated way of doing it, i'd be happy to hear :-)</p>"
1168,120.0,2008-08-04T11:51:59Z,1160,3,"<p>I found <a href=""http://code.google.com/p/svnrevisionlabeller"" rel=""nofollow"">this</a> project on google code. This is <code>CCNET</code> plugin to generate the label in <code>CCNET</code>.</p><p>The <code>DLL</code> is tested with <code>CCNET 1.3</code> but it works with <code>CCNET 1.4</code> for me. I'm successfully using this plugin to label my build.</p><p>Now onto passing it to <code>MSBuild</code>...</p>"
1169,275.0,2008-08-04T11:56:42Z,1160,13,"<p>You have basically two options. Either you write a simple script that will start and parse output from</p><p><strong>svn.exe info --revision HEAD</strong></p><p>to obtain revision number (then generating AssemblyInfo.cs is pretty much straight forward) or just use plugin for CCNET. Here it is:</p><blockquote>  <p><strong>SVN Revision Labeller</strong> is a plugin for  CruiseControl.NET that allows you to  generate CruiseControl labels for your  builds, based upon the revision number  of your Subversion working copy. This  can be customised with a prefix and/or  major/minor version numbers.</p>    <p><a href=""http://code.google.com/p/svnrevisionlabeller/"" rel=""nofollow"">http://code.google.com/p/svnrevisionlabeller/</a></p></blockquote><p>I prefer the first option because it's only roughly 20 lines of code:</p><pre><code>using System;using System.Diagnostics;namespace SvnRevisionNumberParserSample{    class Program    {        static void Main()        {            Process p = Process.Start(new ProcessStartInfo()                {                    FileName = @""C:\Program Files\SlikSvn\bin\svn.exe"", // path to your svn.exe                    UseShellExecute = false,                    RedirectStandardOutput = true,                    Arguments = ""info --revision HEAD"",                    WorkingDirectory = @""C:\MyProject"" // path to your svn working copy                });            // command ""svn.exe info --revision HEAD"" will produce a few lines of output            p.WaitForExit();            // our line starts with ""Revision: ""            while (!p.StandardOutput.EndOfStream)            {                string line = p.StandardOutput.ReadLine();                if (line.StartsWith(""Revision: ""))                {                    string revision = line.Substring(""Revision: "".Length);                    Console.WriteLine(revision); // show revision number on screen                                           break;                }            }            Console.Read();        }    }}</code></pre>"
1172,266.0,2008-08-04T12:03:03Z,1160,3,"<p>If you prefer doing it on the <code>MSBuild</code> side over the <code>CCNet</code> config, looks like the <code>MSBuild</code> Community Tasks extension's <a href=""http://msbuildtasks.tigris.org/"" rel=""nofollow""><code>SvnVersion</code></a> task might do the trick.</p>"
1185,60.0,2008-08-04T12:28:03Z,1180,1,"<p>The trick to that is to use URL rewriting so that <strong>name.domain.com</strong> transparently maps to something like <strong>domain.com/users/name</strong> on your server.  Once you start down that path, it's fairly trivial to implement.</p>"
1187,275.0,2008-08-04T12:32:24Z,1180,7,"<p><strong>Don't worry about DNS and URL rewriting</strong></p><p>Your DNS record will be static, something like:</p><pre><code>*.YOURDOMAIN.COM A 123.123.123.123<br></code></pre><p>Ask your DNS provider to do it for you (if it's not done already) or do it by yourself if you have control over your DNS records. This will automatically point all your subdomains (current and future ones) into the same HTTP server.</p><p>Once it's done, you will only need to parse HOST header on every single http request to detect what hostname was used to access your server-side scripts on your http server.</p><p>Assuming you're using ASP.NET, this is kind of silly example I came up with but works and demonstrates simplicity of this approach:</p><pre><code>&lt;%@ Language=""C#"" %&gt;<br>&lt;%<br>string subDomain = Request.Url.Host.Split('.')[0].ToUpper();<br>if (subDomain == ""CLIENTXXX"") Response.Write(""Hello CLIENTXXX, your secret number is 33"");<br>else if (subDomain == ""CLIENTYYY"") Response.Write(""Hello CLIENTYYY, your secret number is 44"");<br>else Response.Write(subDomain+"" doesn't exist"");<br>%&gt;<br></code></pre>"
1216,120.0,2008-08-04T13:22:31Z,1160,2,"<blockquote>  <p><strong>Customizing csproj files to autogenerate AssemblyInfo.cs</strong> <br>  <a href=""http://www.codeproject.com/KB/dotnet/Customizing_csproj_files.aspx"" rel=""nofollow"">http://www.codeproject.com/KB/dotnet/Customizing_csproj_files.aspx</a></p>    <p>Every time we create a new C# project,  Visual Studio puts there the  AssemblyInfo.cs file for us. The file  defines the assembly meta-data like  its version, configuration, or  producer.</p></blockquote><p>Found the above technique to auto-gen AssemblyInfo.cs using MSBuild. Will post sample shortly.</p>"
1232,48.0,2008-08-04T13:39:39Z,1180,11,"<p>The way we do this is to have a 'catch all' for our domain name registered in DNS so that anything.ourdomain.com will point to our server.</p><p>With Apache you can set up a similar catch-all for your vhosts.  The ServerName must be a single static name but the ServerAlias directive can contain a pattern.</p><pre><code>Servername www.ourdomain.comServerAlias *.ourdomain.com</code></pre><p>Now all of the domains will trigger the vhost for our project.  The final part is to decode the domain name actually used so that you can work out the username in your code, something like (PHP):</p><pre><code>list( $username ) = explode( ""."", $_SERVER[ ""HTTP_HOST"" ] );</code></pre><p>or a RewriteRule as already suggested that silently maps user.ourdomain.com/foo/bar to www.ourdomain.com/foo/bar?user=user or whatever you prefer.</p>"
